Attendance,Previous qualification (grade),Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Student ID,Application preference
Daytime,118.0,122.2,No,No,No,Yes,Female,No,19,No,0,5,11,3,10.666666666666666,0,0,5,9,4,10.25,0,11.1,0.6,2.02,Graduate,0848,6
Daytime,130.0,122.3,Yes,No,Yes,No,Female,No,18,No,0,6,8,6,14.142857142857142,0,0,6,6,5,12.0,0,13.9,-0.3,0.79,Dropout,3928,5
Daytime,180.0,183.5,Yes,No,No,Yes,Female,No,18,Yes,0,7,8,4,12.0,0,0,8,8,0,0.0,0,16.2,0.3,-0.92,Dropout,0525,6
Daytime,127.0,150.0,No,No,No,Yes,Female,Yes,19,No,0,7,9,5,13.85,0,0,8,9,7,12.19285714285714,0,11.1,0.6,2.02,Graduate,0224,6
Daytime,110.0,110.0,No,No,No,Yes,Male,No,35,No,0,6,7,0,0.0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout,3199,6
Daytime,129.0,142.0,Yes,No,No,Yes,Female,No,19,No,0,6,8,6,12.666666666666666,0,0,6,7,6,12.714285714285714,0,9.4,-0.8,-3.12,Graduate,2180,4
Daytime,110.0,110.0,Yes,No,No,Yes,Male,No,27,No,7,12,12,9,12.333333333333334,0,6,11,11,6,13.166666666666666,0,9.4,-0.8,-3.12,Dropout,3593,6
Daytime,130.0,146.0,No,No,No,Yes,Male,No,34,No,0,6,8,5,12.6,0,0,6,11,4,11.25,0,12.4,0.5,1.79,Graduate,3689,6
Daytime,140.0,146.5,No,No,No,Yes,Male,No,39,No,0,5,10,3,17.333333333333332,0,0,5,11,1,17.0,0,13.9,-0.3,0.79,Dropout,0700,6
Daytime,120.0,149.0,No,No,No,No,Male,No,36,No,0,6,15,2,11.5,0,0,7,9,0,0.0,0,15.5,2.8,-4.06,Dropout,0792,6
Daytime,133.1,110.0,No,No,No,Yes,Female,No,28,No,0,6,15,4,12.0,0,0,6,14,4,12.0,0,11.1,0.6,2.02,Dropout,4056,6
Daytime,126.0,132.0,Yes,No,No,Yes,Female,Yes,19,No,0,6,6,6,14.166666666666666,0,0,6,8,6,12.375,0,10.8,1.4,1.74,Graduate,2741,5
Daytime,146.0,143.9,No,No,No,Yes,Female,No,18,No,0,5,11,5,11.333333333333334,0,0,5,8,5,12.0,0,13.9,-0.3,0.79,Graduate,2739,5
Daytime,142.0,127.7,No,No,No,Yes,Female,Yes,20,No,0,6,7,6,15.0,0,0,6,6,6,16.333333333333332,0,13.9,-0.3,0.79,Graduate,3164,6
Daytime,120.0,120.0,Yes,No,No,Yes,Female,No,31,No,8,12,12,11,13.818181818181818,0,4,12,16,12,13.461538461538462,0,15.5,2.8,-4.06,Graduate,1966,6
Daytime,120.0,128.2,Yes,No,No,Yes,Male,No,34,No,4,6,8,4,11.25,0,1,5,8,2,10.5,0,7.6,2.6,0.32,Dropout,0981,6
Daytime,132.0,119.4,Yes,No,No,Yes,Male,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,1453,6
Evening,133.1,154.4,No,No,No,Yes,Male,No,27,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout,3583,6
Daytime,137.0,126.0,Yes,No,No,Yes,Female,No,19,No,0,7,9,7,14.283333333333337,0,0,8,9,8,13.125555555555556,0,15.5,2.8,-4.06,Graduate,2153,3
Daytime,119.1,119.1,No,No,No,Yes,Male,No,22,No,0,7,7,6,12.733333333333334,0,0,7,7,6,12.733333333333334,0,7.6,2.6,0.32,Graduate,3873,5
Daytime,128.0,116.5,No,No,No,Yes,Male,No,19,No,0,5,8,2,10.0,0,0,5,8,1,16.0,0,7.6,2.6,0.32,Dropout,0985,6
Daytime,141.0,128.4,Yes,No,Yes,No,Female,No,18,No,0,6,8,5,13.0,0,0,6,8,5,11.4,0,7.6,2.6,0.32,Dropout,0393,1
Daytime,120.0,116.0,No,No,No,Yes,Female,No,44,No,0,6,8,6,13.0,0,0,6,6,6,13.833333333333334,0,12.7,3.7,-1.7,Graduate,0349,6
Daytime,129.0,123.4,No,No,No,Yes,Female,No,19,No,0,5,6,5,12.4,0,0,5,6,5,13.4,0,7.6,2.6,0.32,Graduate,0152,6
Evening,133.1,118.4,No,No,No,No,Female,No,39,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,1548,6
Daytime,126.0,121.1,No,No,Yes,Yes,Female,No,18,No,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,0041,2
Daytime,144.0,125.8,No,No,No,Yes,Female,Yes,19,No,0,8,12,7,12.471428571428572,0,0,8,12,7,12.471428571428572,0,12.7,3.7,-1.7,Graduate,2081,6
Daytime,117.0,116.3,Yes,No,No,Yes,Male,Yes,21,No,0,6,6,6,11.666666666666666,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Graduate,4268,6
Daytime,150.0,148.8,No,No,No,Yes,Male,Yes,25,No,0,5,7,4,14.25,0,0,5,7,4,14.75,0,12.7,3.7,-1.7,Graduate,2377,6
Evening,131.0,125.0,No,No,No,Yes,Male,No,24,No,0,6,13,0,0.0,3,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout,1489,6
Daytime,133.1,103.5,No,No,No,Yes,Male,No,42,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout,1787,6
